imageUri,qaCorrection
s3://qa-manager-prod/golden_questions/1608741835/1/0_30.08376242_-94.16642892_ortho.jpg,"[""Solar_No"", ""Tree_None"", ""Type_Hip"", ""Condition_Fair"", ""Pool_No"", ""Material_Shingle""]"
s3://qa-manager-prod/golden_questions/1608741835/1/0_30.08376242_-94.16642892_ortho.jpg,"[""Material_Shingle"", ""Solar_No"", ""Tree_None"", ""Condition_Fair"", ""Pool_No"", ""Type_Hip""]"
s3://qa-manager-prod/golden_questions/1608741835/1/0_30.08376242_-94.16642892_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Hip"", ""Tree_None"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/10/108_27.72864763_-97.38532239_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Tree_Low"", ""Pool_No"", ""Condition_Good"", ""Type_Mixed""]"
s3://qa-manager-prod/golden_questions/1608741835/10/108_27.72864763_-97.38532239_ortho.jpg,"[""Solar_No"", ""Pool_No"", ""Condition_Good"", ""Material_Shingle"", ""Tree_Low"", ""Type_Mixed""]"
s3://qa-manager-prod/golden_questions/1608741835/10/108_27.72864763_-97.38532239_ortho.jpg,"[""Condition_Good"", ""Material_Shingle"", ""Type_Mixed"", ""Tree_Low"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/100/18_27.60095482_-97.24444789_ortho.jpg,"[""No_Building""]"
s3://qa-manager-prod/golden_questions/1608741835/101/190_29.56098552_-95.28296246_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Type_Gabled"", ""Pool_No"", ""Tree_Low""]"
s3://qa-manager-prod/golden_questions/1608741835/101/190_29.56098552_-95.28296246_ortho.jpg,"[""Solar_No"", ""Tree_Low"", ""Pool_No"", ""Type_Gabled"", ""Material_Shingle"", ""Condition_Fair""]"
s3://qa-manager-prod/golden_questions/1608741835/101/190_29.56098552_-95.28296246_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Gabled"", ""Tree_Low"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/102/191_29.56097451_-95.2831058_ortho.jpg,"[""No_Building""]"
s3://qa-manager-prod/golden_questions/1608741835/103/192_29.50593985_-95.03283228_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Tree_Medium"", ""Pool_No"", ""Type_Hip""]"
s3://qa-manager-prod/golden_questions/1608741835/103/192_29.50593985_-95.03283228_ortho.jpg,"[""Solar_No"", ""Tree_Medium"", ""Material_Shingle"", ""Condition_Fair"", ""Type_Hip"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/103/192_29.50593985_-95.03283228_ortho.jpg,"[""Material_Shingle"", ""Condition_Fair"", ""Solar_No"", ""Pool_No"", ""Type_Hip"", ""Tree_Low""]"
s3://qa-manager-prod/golden_questions/1608741835/104/193_27.67466147_-97.28078297_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Tree_None"", ""Pool_No"", ""Condition_Good"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/104/193_27.67466147_-97.28078297_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Gabled"", ""Tree_None"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/105/194_29.28893037_-94.79721388_ortho.jpg,"[""Solar_No"", ""Type_Mixed"", ""Material_Tile"", ""Tree_None"", ""Condition_Fair"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/105/194_29.28893037_-94.79721388_ortho.jpg,"[""Solar_No"", ""Pool_No"", ""Type_Mixed"", ""Material_Tile"", ""Tree_None"", ""Condition_Fair""]"
s3://qa-manager-prod/golden_questions/1608741835/105/194_29.28893037_-94.79721388_ortho.jpg,"[""Condition_Fair"", ""Material_Tile"", ""Type_Mixed"", ""Tree_None"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/106/195_29.36882084_-94.96916399_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Tree_Medium"", ""Condition_Fair"", ""Type_Gabled"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/106/195_29.36882084_-94.96916399_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Gabled"", ""Pool_No"", ""Tree_Low"", ""Solar_No""]"
s3://qa-manager-prod/golden_questions/1608741835/106/195_29.36882084_-94.96916399_ortho.jpg,"[""Solar_No"", ""Type_Mixed"", ""Material_Shingle"", ""Tree_Medium"", ""Pool_No"", ""Condition_Fair""]"
s3://qa-manager-prod/golden_questions/1608741835/107/196_29.36926699_-94.96929167_ortho.jpg,"[""No_Building""]"
s3://qa-manager-prod/golden_questions/1608741835/107/196_29.36926699_-94.96929167_ortho.jpg,"[""Material_Metal"", ""Type_Flat"", ""Pool_No"", ""Condition_Fair"", ""Tree_Medium"", ""Solar_No""]"
s3://qa-manager-prod/golden_questions/1608741835/107/196_29.36926699_-94.96929167_ortho.jpg,"[""Condition_Fair"", ""Material_Metal"", ""Type_Flat"", ""Tree_Medium"", ""Pool_No"", ""Solar_No""]"
s3://qa-manager-prod/golden_questions/1608741835/108/197_29.55708563_-95.424635_ortho.jpg,"[""Solar_No"", ""Type_Mixed"", ""Material_Shingle"", ""Tree_None"", ""Condition_Fair"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/108/197_29.55708563_-95.424635_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Mixed"", ""Tree_None"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/109/198_28.94541513_-95.29497096_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Tree_None"", ""Condition_Fair"", ""Pool_No"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/109/198_28.94541513_-95.29497096_ortho.jpg,"[""Solar_No"", ""Condition_Poor"", ""Material_Shingle"", ""Tree_None"", ""Pool_No"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/109/198_28.94541513_-95.29497096_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Gabled"", ""Tree_None"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/11/109_29.58453402_-95.37329875_ortho.jpg,"[""No_Building""]"
s3://qa-manager-prod/golden_questions/1608741835/110/199_29.36484942_-95.08041944_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Type_Mixed"", ""Tree_Low"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/110/199_29.36484942_-95.08041944_ortho.jpg,"[""Solar_No"", ""Type_Mixed"", ""Material_Shingle"", ""Tree_Low"", ""Pool_No"", ""Condition_Fair""]"
s3://qa-manager-prod/golden_questions/1608741835/110/199_29.36484942_-95.08041944_ortho.jpg,"[""Solar_No"", ""Type_Mixed"", ""Material_Shingle"", ""Condition_Fair"", ""Tree_Low"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/111/19_29.47245573_-95.20792598_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Tree_Low"", ""Pool_Yes"", ""Type_Gabled"", ""Condition_Fair""]"
s3://qa-manager-prod/golden_questions/1608741835/111/19_29.47245573_-95.20792598_ortho.jpg,"[""Type_Gabled"", ""Pool_Yes"", ""Material_Shingle"", ""Tree_Low"", ""Solar_No"", ""Condition_Fair""]"
s3://qa-manager-prod/golden_questions/1608741835/111/19_29.47245573_-95.20792598_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Gabled"", ""Tree_Low"", ""Solar_No"", ""Pool_Yes""]"
s3://qa-manager-prod/golden_questions/1608741835/112/1_29.91506735_-93.92104895_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Type_Hip"", ""Tree_Low"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/112/1_29.91506735_-93.92104895_ortho.jpg,"[""Material_Shingle"", ""Condition_Fair"", ""Tree_Low"", ""Type_Hip"", ""Pool_No"", ""Solar_No""]"
s3://qa-manager-prod/golden_questions/1608741835/113/200_29.36495574_-95.08034954_ortho.jpg,"[""Tree_Medium"", ""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Pool_No"", ""Type_Gabled""]"
s3://qa-manager-prod/golden_questions/1608741835/113/200_29.36495574_-95.08034954_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Gabled"", ""Tree_Medium"", ""Solar_No"", ""Pool_No""]"
s3://qa-manager-prod/golden_questions/1608741835/114/201_29.208210700000002_-94.93503763_ortho.jpg,"[""Solar_No"", ""Type_Mixed"", ""Material_Shingle"", ""Tree_None"", ""Pool_No"", ""Condition_Good""]"
s3://qa-manager-prod/golden_questions/1608741835/114/201_29.208210700000002_-94.93503763_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Tree_None"", ""Pool_No"", ""Condition_Good"", ""Type_Mixed""]"
s3://qa-manager-prod/golden_questions/1608741835/114/201_29.208210700000002_-94.93503763_ortho.jpg,"[""Condition_Good"", ""Material_Shingle"", ""Type_Mixed"", ""Tree_None"", ""Pool_No"", ""Solar_No""]"
s3://qa-manager-prod/golden_questions/1608741835/115/202_29.52060064_-95.05331866_ortho.jpg,"[""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Pool_Yes"", ""Type_Gabled"", ""Tree_Low""]"
s3://qa-manager-prod/golden_questions/1608741835/115/202_29.52060064_-95.05331866_ortho.jpg,"[""Type_Flat"", ""Pool_Yes"", ""Solar_No"", ""Material_Shingle"", ""Condition_Fair"", ""Tree_None""]"
s3://qa-manager-prod/golden_questions/1608741835/115/202_29.52060064_-95.05331866_ortho.jpg,"[""Condition_Fair"", ""Material_Shingle"", ""Type_Gabled"", ""Tree_Low"", ""Solar_No"", ""Pool_Yes""]"
